time(python3 lot_size_problem_CP_SAT.py)

=============== RESULTS ====================

 STATUS 4
Solution:
Objective value = 138170
Product: 5 || Day: 13 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 14 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 15 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 16 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 17 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 18 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 19 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 20 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 21 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 22 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 23 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 24 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 25 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 26 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 27 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 28 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 29 || Production: 340 || Setup: 1 || Inventory: 0
Product: 5 || Day: 30 || Production: 0 || Setup: 0 || Inventory: 0
Product: 6 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 340
Product: 6 || Day: 2 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 3 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 4 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 5 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 6 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 7 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 8 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 9 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 10 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 11 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 12 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 13 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 14 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 15 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 16 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 17 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 18 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 19 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 20 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 21 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 22 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 23 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 24 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 25 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 26 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 27 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 28 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 29 || Production: 340 || Setup: 1 || Inventory: 0
Product: 6 || Day: 30 || Production: 0 || Setup: 0 || Inventory: 0
Product: 7 || Day: 1 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 2 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 3 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 4 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 5 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 6 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 7 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 8 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 9 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 10 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 11 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 12 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 13 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 14 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 15 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 16 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 17 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 18 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 19 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 20 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 21 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 22 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 23 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 24 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 25 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 26 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 27 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 28 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 29 || Production: 340 || Setup: 1 || Inventory: 0
Product: 7 || Day: 30 || Production: 0 || Setup: 0 || Inventory: 0
Product: 8 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 340
Product: 8 || Day: 2 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 3 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 4 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 5 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 6 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 7 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 8 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 9 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 10 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 11 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 12 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 13 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 14 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 15 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 16 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 17 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 18 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 19 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 20 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 21 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 22 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 23 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 24 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 25 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 26 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 27 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 28 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 29 || Production: 340 || Setup: 1 || Inventory: 0
Product: 8 || Day: 30 || Production: 0 || Setup: 0 || Inventory: 0
Product: 9 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 208
Product: 9 || Day: 2 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 3 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 4 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 5 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 6 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 7 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 8 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 9 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 10 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 11 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 12 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 13 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 14 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 15 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 16 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 17 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 18 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 19 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 20 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 21 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 22 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 23 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 24 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 25 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 26 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 27 || Production: 208 || Setup: 1 || Inventory: 0
Product: 9 || Day: 28 || Production: 0 || Setup: 0 || Inventory: 104
Product: 9 || Day: 29 || Production: 104 || Setup: 1 || Inventory: 0
Product: 9 || Day: 30 || Production: 0 || Setup: 1 || Inventory: 0
Product: 10 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 2 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 3 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 4 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 5 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 6 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 7 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 8 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 9 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 10 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 11 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 12 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 13 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 14 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 15 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 16 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 17 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 18 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 19 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 20 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 21 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 22 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 23 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 24 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 25 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 26 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 27 || Production: 207 || Setup: 1 || Inventory: 0
Product: 10 || Day: 28 || Production: 0 || Setup: 0 || Inventory: 138
Product: 10 || Day: 29 || Production: 0 || Setup: 0 || Inventory: 69
Product: 10 || Day: 30 || Production: 0 || Setup: 1 || Inventory: 0
Product: 11 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 2 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 3 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 4 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 5 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 6 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 7 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 8 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 9 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 10 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 11 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 12 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 13 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 14 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 15 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 16 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 17 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 18 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 19 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 20 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 21 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 22 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 23 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 24 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 25 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 26 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 27 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 28 || Production: 228 || Setup: 1 || Inventory: 0
Product: 11 || Day: 29 || Production: 0 || Setup: 0 || Inventory: 114
Product: 11 || Day: 30 || Production: 0 || Setup: 0 || Inventory: 0
Product: 12 || Day: 1 || Production: 0 || Setup: 0 || Inventory: 208
Product: 12 || Day: 2 || Production: 0 || Setup: 0 || Inventory: 104
Product: 12 || Day: 3 || Production: 208 || Setup: 1 || Inventory: 0
Product: 12 || Day: 4 || Production: 0 || Setup: 0 || Inventory: 104
Product: 12 || Day: 5 || Production: 208 || Setup: 1 || Inventory: 0
Product: 12 || Day: 6 || Production: 0 || Setup: 0 || Inventory: 104
Product: 12 || Day: 7 || Production: 208 || Setup: 1 || Inventory: 0
Product: 12 || Day: 8 || Production: 0 || Setup: 0 || Inventory: 104
Product: 12 || Day: 9 || Production: 208 || Setup: 1 || Inventory: 0
Product: 12 || Day: 10 || Production: 0 || Setup: 0 || Inventory: 104
Product: 12 || Day: 11 || Production: 208 || Setup: 1 || Inventory: 0
Product: 12 || Day: 12 || Production: 0 || Setup: 0 || Inventory: 104
Product: 12 || Day: 13 || Production: 208 || Setup: 1 || Inventory: 0
Product: 12 || Day: 14 || Production: 0 || Setup: 0 || Inventory: 104
Product: 12 || Day: 15 || Production: 208 || Setup: 1 || Inventory: 0
Product: 12 || Day: 16 || Production: 0 || Setup: 0 || Inventory: 104
